timestamp,open,high,low,close,volume
2025-05-16 15:57:00+00:00,2.7075,2.7191,2.7043,2.7181,16032.3
2025-05-16 15:58:00+00:00,2.7174,2.7179,2.7103,2.7113,29290.0
2025-05-16 15:59:00+00:00,2.711,2.7247,2.711,2.7224,34981.3
2025-05-16 16:00:00+00:00,2.7226,2.7324,2.7106,2.7134,68832.0
2025-05-16 16:01:00+00:00,2.7128,2.7144,2.7009,2.7016,48182.4
2025-05-16 16:02:00+00:00,2.7023,2.7037,2.6967,2.698,38954.8
2025-05-16 16:03:00+00:00,2.6977,2.7049,2.6961,2.6975,19597.6
2025-05-16 16:04:00+00:00,2.6976,2.6976,2.691,2.6946,19180.7
2025-05-16 16:05:00+00:00,2.6941,2.7017,2.6919,2.6989,28616.9
2025-05-16 16:06:00+00:00,2.6989,2.7031,2.6953,2.7018,16957.5
2025-05-16 16:07:00+00:00,2.7014,2.7112,2.6989,2.7087,17559.5
2025-05-16 16:08:00+00:00,2.7077,2.7087,2.7044,2.7058,9590.4
2025-05-16 16:09:00+00:00,2.7067,2.7068,2.7014,2.7015,8765.2
2025-05-16 16:10:00+00:00,2.7015,2.7028,2.6955,2.6983,16573.1
2025-05-16 16:11:00+00:00,2.6971,2.6997,2.6916,2.6939,13623.0
2025-05-16 16:12:00+00:00,2.6933,2.6933,2.6789,2.681,98846.9
2025-05-16 16:13:00+00:00,2.681,2.6894,2.6785,2.6833,21526.7
2025-05-16 16:14:00+00:00,2.6834,2.685,2.6784,2.6815,21535.9
2025-05-16 16:15:00+00:00,2.6813,2.6826,2.6775,2.6795,26108.3
2025-05-16 16:16:00+00:00,2.6791,2.6858,2.6722,2.6852,54803.2
2025-05-16 16:17:00+00:00,2.6849,2.6874,2.6743,2.6791,44565.2
2025-05-16 16:18:00+00:00,2.6784,2.6834,2.6761,2.6822,16627.6
2025-05-16 16:19:00+00:00,2.6826,2.69,2.6818,2.6862,25698.4
2025-05-16 16:20:00+00:00,2.6875,2.6907,2.6849,2.6904,16502.7
2025-05-16 16:21:00+00:00,2.6905,2.6958,2.689,2.6899,24348.3
2025-05-16 16:22:00+00:00,2.6891,2.699,2.6859,2.6975,25206.3
2025-05-16 16:23:00+00:00,2.6986,2.7094,2.698,2.7001,24864.2
2025-05-16 16:24:00+00:00,2.6999,2.6999,2.6913,2.6931,15590.2
2025-05-16 16:25:00+00:00,2.6933,2.6968,2.6901,2.6913,23994.2
2025-05-16 16:26:00+00:00,2.6912,2.699,2.6886,2.6962,19499.3
2025-05-16 16:27:00+00:00,2.6961,2.6963,2.6912,2.6955,18295.2
2025-05-16 16:28:00+00:00,2.6957,2.6993,2.6953,2.6975,11486.5
2025-05-16 16:29:00+00:00,2.6981,2.7011,2.6979,2.7003,21199.6
2025-05-16 16:30:00+00:00,2.7002,2.7015,2.694,2.6968,26207.4
2025-05-16 16:31:00+00:00,2.6971,2.7,2.6952,2.6958,11211.1
2025-05-16 16:32:00+00:00,2.6959,2.6961,2.6939,2.6949,8145.5
2025-05-16 16:33:00+00:00,2.6948,2.6972,2.6931,2.6951,20560.8
2025-05-16 16:34:00+00:00,2.695,2.6958,2.6926,2.6943,23558.5
2025-05-16 16:35:00+00:00,2.6943,2.6998,2.6918,2.695,66379.5
2025-05-16 16:36:00+00:00,2.695,2.6976,2.6944,2.695,19453.9
2025-05-16 16:37:00+00:00,2.695,2.6981,2.694,2.6946,10441.6
2025-05-16 16:38:00+00:00,2.6956,2.6957,2.6857,2.6868,15775.4
2025-05-16 16:39:00+00:00,2.6869,2.6911,2.6841,2.69,18104.2
2025-05-16 16:40:00+00:00,2.6902,2.6974,2.6902,2.6952,15496.8
2025-05-16 16:41:00+00:00,2.6958,2.6999,2.6955,2.6977,15592.9
2025-05-16 16:42:00+00:00,2.6977,2.7026,2.6975,2.7006,17725.4
2025-05-16 16:43:00+00:00,2.7008,2.703,2.6867,2.6881,24337.4
2025-05-16 16:44:00+00:00,2.6874,2.6916,2.6781,2.6824,36452.4
2025-05-16 16:45:00+00:00,2.6823,2.6826,2.6541,2.6569,52184.6
2025-05-16 16:46:00+00:00,2.6579,2.6599,2.6465,2.6595,51338.7
2025-05-16 16:47:00+00:00,2.6594,2.6661,2.6508,2.6585,35634.0
2025-05-16 16:48:00+00:00,2.6583,2.6605,2.6505,2.652,22379.1
2025-05-16 16:49:00+00:00,2.652,2.6597,2.6509,2.6557,21719.2
2025-05-16 16:50:00+00:00,2.6558,2.6569,2.645,2.6532,77604.4
2025-05-16 16:51:00+00:00,2.6532,2.6577,2.6496,2.6574,11497.5
2025-05-16 16:52:00+00:00,2.6573,2.6658,2.6556,2.6601,26396.5
2025-05-16 16:53:00+00:00,2.66,2.6642,2.6573,2.6626,11538.8
2025-05-16 16:54:00+00:00,2.6625,2.6665,2.661,2.666,18385.5
2025-05-16 16:55:00+00:00,2.6663,2.6709,2.664,2.6673,18078.9
2025-05-16 16:56:00+00:00,2.6673,2.6684,2.663,2.6658,6448.8
